Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
G;Maintenance;G0A;Ouvriers qualifiés de la maintenance;G0A40;Ouvriers de la maintenance générale et mécanique;G0A40b;Ouvriers en maintenance générale et mécanique industrielle
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B40;Carrossiers automobiles;G0B40b;Ouvriers qualifiés en réparation de carrosserie
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41d;Ouvriers qualifiés en Maintenance d'engins de chantier, de levage, manutention et agricoles
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41e;Ouvriers qualifiés en Mécanique automobile
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X72;Techniciens et agents de maîtrise en maintenance générale et mécanique industrielle;G1X72b;Techniciens et agents de maîtrise en maintenance en nautisme, mécanique de marine et aéronefs
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X74;Techniciens et agents de maîtrise en installation et maintenance en froid et conditionnement d'air;G1X74;Techniciens et agents de maîtrise en installation et maintenance en froid et conditionnement d'air
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X77;Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes;G1X77c;Techniciens et agents de maîtrise en études, conception et maintenance d'automatismes
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X78;Techniciens et agents de maîtrise en distribution et assainissement d'eau et gestion des déchets;G1X78;Techniciens et agents de maîtrise en distribution et assainissement d'eau et gestion des déchets
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H0X;Techniciens et ouvriers du contrôle qualité et du dessin industriel;H0X40;Ouvriers qualifiés du contrôle qualité et de laboratoire;H0X40a;Ouvriers qualifiés du contrôle qualité
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H0X;Techniciens et ouvriers du contrôle qualité et du dessin industriel;H0X91;Techniciens du dessin industriel;H0X91;Techniciens du dessin industriel
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X90;Ingénieurs et cadres de fabrication et de la production;H1X90;Ingénieurs et cadres de fabrication et de la production
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X92;Ingénieurs en maintenance et support technique client;H1X92;Ingénieurs en maintenance et support technique client
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X93;Ingénieurs des méthodes de production, du contrôle qualité;H1X93a;Ingénieurs et cadres technique en gestion industrielle et logistique
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X93;Ingénieurs des méthodes de production, du contrôle qualité;H1X93c;Ingénieurs et cadres techniques en management et ingénierie qualité industrielle et BTP
J;Transports, logistique et tourisme;J0X;Ouvriers de la manutention;J0X31;Manutentionnaires et déménageurs qualifiés;J0X31;Manutentionnaires et déménageurs qualifiés
J;Transports, logistique et tourisme;J0X;Ouvriers de la manutention;J0X33;Magasiniers et préparateurs de commandes peu qualifiés;J0X33;Magasiniers et préparateurs de commandes peu qualifiés
J;Transports, logistique et tourisme;J1X;Responsable magasinage;J1X80;Responsable du magasinage et de la logistique (non cadres);J1X80;Responsable du magasinage et de la logistique (non cadres)
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X40;Conducteurs de véhicules légers;J3X40b;Conducteurs de taxi, VTC
J;Transports, logistique et tourisme;J4X;Employés commerciaux des transports et du tourisme;J4X63;Employés du tourisme et agent de billetterie des transports;J4X63;Employés du tourisme et agent de billetterie des transports
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X40;Agents d'exploitation du transport;J5X40a;Agents d'exploitation des transports (hors ferroviaire)
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X40;Agents d'exploitation du transport;J5X40b;Agents d'exploitation des transports ferroviaires
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X80;Techniciens d'exploitation et d'administration des transports;J5X80;Techniciens d'exploitation et d'administration des transports
J;Transports, logistique et tourisme;J6X;Cadres des transports, du tourisme, de la logistique et navigants de l'aviation;J6X90;Cadres des transports et du tourisme;J6X90a;Cadres des transports
J;Transports, logistique et tourisme;J6X;Cadres des transports, du tourisme, de la logistique et navigants de l'aviation;J6X91;Personnels techniques navigants de l’aviation;J6X91;Personnels techniques navigants de l’aviation
K;Artisanat;K0X;Artisans et ouvriers artisanaux;K0X32;Artisans et ouvriers de blanchisserie;K0X32;Artisans et ouvriers de blanchisserie
L;Gestion et administration des entreprises et des établissements publics;L1X;Employés de la comptabilité;L1X60;Employés de la comptabilité;L1X60;Employés de la comptabilité
L;Gestion et administration des entreprises et des établissements publics;L4X;Techniciens des services administratifs, comptables et financiers;L4X80;Techniciens des services administratifs;L4X80b;Techniciens assistanat technique, administratif et gestion d'enquêtes
L;Gestion et administration des entreprises et des établissements publics;L4X;Techniciens des services administratifs, comptables et financiers;L4X81;Techniciens et agents de maîtrise des services financiers ou comptables;L4X81;Techniciens et agents de maîtrise des services financiers ou comptables
M;Informatique et télécommunications;M1X;Techniciens de l'informatique;M1X80;Techniciens d'étude et de développement en informatique;M1X80;Techniciens d'étude et de développement en informatique
M;Informatique et télécommunications;M1X;Techniciens de l'informatique;M1X81;Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique;M1X81b;Techniciens d’exploitation, installation et maintenance des infrastructures réseau télecoms
M;Informatique et télécommunications;M1X;Techniciens de l'informatique;M1X81;Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique;M1X81c;Techniciens de maintenance, support et service aux utilisateurs en informatique
M;Informatique et télécommunications;M2X;Ingénieurs de l'informatique;M2X93;Experts et consultants en systèmes d'information;M2X93;Experts et consultants en systèmes d'information
N;Études et recherche;N1X;Cadres d'études et de recherche;N1X90;Ingénieurs et cadres d'étude, recherche et développement (industrie);N1X90;Ingénieurs et cadres d'étude, recherche et développement (industrie)
N;Études et recherche;N1X;Cadres d'études et de recherche;N1X91;Chercheurs (sauf industrie et enseignement supérieur);N1X91;Chercheurs (sauf industrie et enseignement supérieur)
P;Administration publique, professions juridiques, armée et police;P1X;Professions intermédiaires administratives des administrations publiques (catégorie B et assimilés);P1X80;Contrôleurs des impôts et des douanes;P1X80;Contrôleurs des impôts et des douanes
P;Administration publique, professions juridiques, armée et police;P1X;Professions intermédiaires administratives des administrations publiques (catégorie B et assimilés);P1X81;Autres cadres B des administrations publiques;P1X81;Autres cadres B des administrations publiques
P;Administration publique, professions juridiques, armée et police;P3X;Professionnels du droit (hors juristes en entreprise);P3X91;Magistrats;P3X91;Magistrats
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X80;Cadres de la police et de l'armée;P4X80a;Cadres de la sécurité civile et des secours
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X80;Cadres de la police et de l'armée;P4X80b;Cadres de la défense
Q;Banque et assurances;QAX;Experts de la finance, de la banque et de l'assurance;QAX03;Experts de l'assurance;QAX03;Experts de l'assurance
Q;Banque et assurances;QCX;Commerciaux de la banque;QCX01;Employés et techniciens commerciaux de la banque;QCX01;Employés et techniciens commerciaux de la banque
Q;Banque et assurances;QDX;Commerciaux des assurances;QDX01;Employés et techniciens commerciaux des assurances;QDX01;Employés et techniciens commerciaux des assurances
Q;Banque et assurances;QEX;Managers en banque assurance;QEX01;Managers en banque assurance;QEX01;Managers en banque assurance
R;Commerce;R1X;Vendeurs;R1X61;Vendeurs en ameublement, équipement du foyer, bricolage;R1X61;Vendeurs en ameublement, équipement du foyer, bricolage
R;Commerce;R1X;Vendeurs;R1X62;Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels;R1X62a;Vendeurs en Achat vente d'objets d'art, anciens ou d'occasion
R;Commerce;R1X;Vendeurs;R1X62;Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels;R1X62e;Vendeurs en habillement et accessoires de la personne
R;Commerce;R1X;Vendeurs;R1X67;Télévendeurs et téléconseillers;R1X67;Télévendeurs et téléconseillers
R;Commerce;R3X;Maîtrise des magasins et intermédiaires du commerce;R3X82;Professions intermédiaires commerciales des achats;R3X82;Professions intermédiaires commerciales des achats
R;Commerce;R3X;Maîtrise des magasins et intermédiaires du commerce;R3X83;Professions intermédiaires du marketing et des services commerciaux (hors achats);R3X83;Professions intermédiaires du marketing et des services commerciaux (hors achats)
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X90;Cadres commerciaux, acheteurs et cadres de la mercatique;R4X90b;Cadres commerciaux et de la mercatique
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X93;Cadres agents immobiliers et syndics;R4X93a;Cadres agents immobiliers
S;Hôtellerie, restauration, alimentation;S0X;Bouchers, charcutiers, boulangers;S0X41;Charcutiers, traiteurs;S0X41;Charcutiers, traiteurs
S;Hôtellerie, restauration, alimentation;S0X;Bouchers, charcutiers, boulangers;S0X42;Boulangers, pâtissiers;S0X42;Boulangers, pâtissiers
S;Hôtellerie, restauration, alimentation;S1X;Cuisiniers;S1X40;Cuisiniers;S1X40;Cuisiniers
S;Hôtellerie, restauration, alimentation;S1X;Cuisiniers;S1X80;Chefs cuisiniers;S1X80;Chefs cuisiniers
S;Hôtellerie, restauration, alimentation;S2X;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S2X60;Employés de l'hôtellerie;S2X60;Employés de l'hôtellerie
T;Services aux particuliers et aux collectivités;T0X;Coiffeurs, esthéticiens;T0X60;Coiffeurs, esthéticiens;T0X60a;Coiffeurs
T;Services aux particuliers et aux collectivités;T1X;Personnels de ménage chez des particuliers;T1X60;Personnels de ménage chez des particuliers;T1X60;Personnels de ménage chez des particuliers
T;Services aux particuliers et aux collectivités;T4X;Agents d'entretien;T4X61;Agents de service hospitaliers;T4X61;Agents de service hospitaliers
T;Services aux particuliers et aux collectivités;T6X;Employés des services divers;T6X61;Employés des services divers;T6X61a;Personnels d'attraction, de structures de loisirs et personnels techniques des jeux
T;Services aux particuliers et aux collectivités;T6X;Employés des services divers;T6X61;Employés des services divers;T6X61b;Chargés en développement personnel et en bien-être de la personne
T;Services aux particuliers et aux collectivités;T6X;Employés des services divers;T6X61;Employés des services divers;T6X61d;Artisans et ouvriers animaliers (toiletteurs, maréchaux-ferrants et taxidermistes)
U;Communication, information, art et spectacle;U0X;Professionnels de la communication et de l'information;U0X90;Cadres de la communication;U0X90;Cadres de la communication
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X80;Professionnels des spectacles;U1X80d;Techniciens du décor et de la régie
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X82;Graphistes, dessinateurs, stylistes, décorateurs et créateurs de supports de communication visuelle;U1X82b;Concepteur-designer de produits
U;Communication, information, art et spectacle;U1X;Professionnels des arts et des spectacles;U1X93;Artistes plasticiens;U1X93;Artistes plasticiens
V;Santé, action sociale, culturelle et sportive;V0X;Aides-soignants;V0X60;Aides-soignants;V0X60a;Aide aux soins des animaux
V;Santé, action sociale, culturelle et sportive;V1X;Infirmiers, sages-femmes;V1X80;Infirmiers et sages-femmes;V1X80;Infirmiers et sages-femmes
V;Santé, action sociale, culturelle et sportive;V1X;Infirmiers, sages-femmes;V1X80;Infirmiers et sages-femmes;V1X80a;Infirmiers généralistes et de prévention
V;Santé, action sociale, culturelle et sportive;V1X;Infirmiers, sages-femmes;V1X80;Infirmiers et sages-femmes;V1X80b;Infirmiers spécialisés, en anesthésie, en bloc opératoire
V;Santé, action sociale, culturelle et sportive;V1X;Infirmiers, sages-femmes;V1X80;Infirmiers et sages-femmes;V1X80c;Infirmiers spécialisés en puériculture
V;Santé, action sociale, culturelle et sportive;V2X;Médecins, dentistes, vétérinaires et pharmaciens;V2X92;Vétérinaires;V2X92;Vétérinaires
V;Santé, action sociale, culturelle et sportive;V2X;Médecins, dentistes, vétérinaires et pharmaciens;V2X93;Pharmaciens;V2X93b;Biologistes médicaux
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X71;Spécialistes de l'appareillage médical;V3X71c;Prothèses dentaires
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X80;Autres professionnels para-médicaux;V3X80f;Ostéopathie et chiropraxie
V;Santé, action sociale, culturelle et sportive;V3X;Professions para-médicales;V3X90;Psychologues, psychothérapeutes;V3X90;Psychologues, psychothérapeutes
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X80;Professionnels de l’orientation et de l’insertion professionnelle;V4X80;Professionnels de l’orientation et de l’insertion professionnelle
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X84;Aides médico-psychologiques;V4X84;Aides médico-psychologiques
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X85;Professionnels de l'action sociale;V4X85c;action et médiation sociale
V;Santé, action sociale, culturelle et sportive;V4X;Professionnels de l'action sociale et de l'orientation;V4X85;Professionnels de l'action sociale;V4X85d;Accueillants et médiateurs sociaux
W;Enseignement, formation;W1X;Formateurs;W1X80;Formateurs;W1X80b;Formateurs professionnels
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X40;Agriculteurs;A0X40;Agriculteurs
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41a;Eleveurs de bovins ou d'équins
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X41;Eleveurs;A0X41f;Aides d'éleveurs
A;Agriculture, marine, pêche;A0X;Agriculteurs, éleveurs, sylviculteurs, bûcherons;A0X43;Conducteurs d'engins agricoles ou forestiers;A0X43;Conducteurs d'engins agricoles ou forestiers
A;Agriculture, marine, pêche;A1X;Maraîchers, jardiniers, viticulteurs;A1X41;Jardiniers des espaces verts et naturels;A1X41;Jardiniers des espaces verts et naturels
A;Agriculture, marine, pêche;A2X;Techniciens et cadres de l'agriculture;A2X70;Techniciens et agents d'encadrement d'exploitations agricoles;A2X70b;Techniciens et agents de contrôle et diagnostic technique en agriculture
A;Agriculture, marine, pêche;A2X;Techniciens et cadres de l'agriculture;A2X90;Ingénieurs, cadres techniques de l'agriculture;A2X90;Ingénieurs, cadres techniques de l'agriculture
A;Agriculture, marine, pêche;A3X;Marins, pêcheurs, aquaculteurs;A3X40;Pêcheurs et aquaculteurs;A3X40a;Aquaculteurs et saliculteurs
A;Agriculture, marine, pêche;A3X;Marins, pêcheurs, aquaculteurs;A3X40;Pêcheurs et aquaculteurs;A3X40b;Marins d'équipage de pêche
A;Agriculture, marine, pêche;A3X;Marins, pêcheurs, aquaculteurs;A3X41;Marins;A3X41;Marins
A;Agriculture, marine, pêche;A3X;Marins, pêcheurs, aquaculteurs;A3X90;Cadres et maîtres d'équipage de la marine;A3X90;Cadres et maîtres d'équipage de la marine
B;Bâtiment, travaux publics;B0X;Ouvriers des travaux publics, du béton et de l'extraction;B0X31;Ouvriers qualifiés de l'extraction et des travaux publics;B0X31;Ouvriers qualifiés de l'extraction et des travaux publics
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X30;Maçons peu qualifiés;B1X30;Maçons peu qualifiés
B;Bâtiment, travaux publics;B1X;Ouvriers du gros œuvre du bâtiment;B1X33;Charpentiers (métal et bois);B1X33b;Charpentiers qualifiés
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X30;Ouvriers en pose et décoration de revêtements;B2X30a;Ouvriers peu qualifiés en pose et décoration de revêtements
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X31;Ouvriers en travaux de façade, d'étanchéité et d'isolation;B2X31a;Ouvriers peu qualifiés en travaux de façade, d'étanchéité et d'isolation
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X31;Ouvriers en travaux de façade, d'étanchéité et d'isolation;B2X31b;Ouvriers qualifiés en travaux de façade, d'étanchéité et d'isolation
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X32;Ouvriers en électricité du bâtiment;B2X32b;Ouvriers qualifiés en électricité du bâtiment
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X35;Ouvriers en montage réseaux électriques et télécoms;B2X35;Ouvriers en montage réseaux électriques et télécoms
B;Bâtiment, travaux publics;B2X;Ouvriers du second œuvre du bâtiment;B2X38;Ouvriers qualifiés en menuiserie et en agencement du BTP;B2X38;Ouvriers qualifiés en menuiserie et en agencement du BTP
B;Bâtiment, travaux publics;B5X;Conducteurs d'engins du bâtiment et des travaux publics;B5X40;Conducteurs d'engins du bâtiment et des travaux publics;B5X40b;Conducteurs d'engins de terrassement et de carrière
B;Bâtiment, travaux publics;B6X;Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics;B6X73;Techniciens et agents de maîtrise de chantiers du BTP;B6X73;Techniciens et agents de maîtrise de chantiers du BTP
B;Bâtiment, travaux publics;B7X;Cadres du bâtiment et des travaux publics;B7X92;Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres);B7X92e;Cadres de la conduite de travaux du BTP et de la direction en entretien des infrastructures et du bâti
B;Bâtiment, travaux publics;B7X;Cadres du bâtiment et des travaux publics;B7X92;Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres);B7X92f;Cadres en Direction de chantier du BTP
B;Bâtiment, travaux publics;B7X;Cadres du bâtiment et des travaux publics;B7X92;Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres);B7X92g;Cadres en Direction et ingénierie d'exploitation de gisements et de carrières
C;Électricité, électronique;C2X;Techniciens, agents de maîtrise et assimilés de l'électricité et de l'électronique;C2X70;Techniciens, agents de maîtrise et assimilés en électricité et en électronique;C2X70;Techniciens, agents de maîtrise et assimilés en électricité et en électronique
D;Mécanique, travail des métaux;D1X;Ouvriers travaillant par formage de métal;D1X33;Soudeurs;D1X33b;Ouvriers qualifiés en soudage
D;Mécanique, travail des métaux;D2X;Ouvriers de la mécanique et du traitement de surface;D2X30;Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique;D2X30;Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique
D;Mécanique, travail des métaux;D6X;Techniciens et agents de maîtrise des industries mécaniques;D6X70;Techniciens en mécanique et travail des métaux;D6X70;Techniciens en mécanique et travail des métaux
E;Industries de process;E3X;Ouvriers des industries agro-alimentaires;E3X40;Ouviers qualifiés des industries agro-alimentaires;E3X40;Ouviers qualifiés des industries agro-alimentaires
E;Industries de process;E4X;Autres ouvriers des industries de process;E4X30;Ouvriers en conduite d’équipement de fabrication de pâte à papier, de papier et de carton et de panneaux de bois;E4X30;Ouvriers en conduite d’équipement de fabrication de pâte à papier, de papier et de carton et de panneaux de bois
E;Industries de process;E4X;Autres ouvriers des industries de process;E4X32;Ouvriers du conditionnement, du tri et de l'emballage;E4X32b;Ouvriers qualifiés du conditionnement, du tri et de l'emballage
E;Industries de process;E5X;Techniciens et agents de maîtrise des industries de process;E5X70;Techniciens des industries de process;E5X70a;Techniciens des industries de process
E;Industries de process;E5X;Techniciens et agents de maîtrise des industries de process;E5X70;Techniciens des industries de process;E5X70c;Techniciens intervention technique en laboratoire d'analyse industrielle et en formulation et analyse sensorielle
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X71;Techniciens et agents de maîtrise en maintenance de véhicules;G1X71a;Techniciens et agents de maîtrise en mécanique automobile, réparation de cycles, motocycles et motoculteurs de loisirs
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X71;Techniciens et agents de maîtrise en maintenance de véhicules;G1X71c;Techniciens et agents de maîtrise en Maintenance d'engins de chantier, de levage, manutention et agricoles
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X72;Techniciens et agents de maîtrise en maintenance générale et mécanique industrielle;G1X72a;Techniciens et agents de maîtrise en maintenance mécanique et entretien d'équipements industriels
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X76;Mainteniciens en biens électrodomestiques;G1X76;Mainteniciens en biens électrodomestiques
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H0X;Techniciens et ouvriers du contrôle qualité et du dessin industriel;H0X40;Ouvriers qualifiés du contrôle qualité et de laboratoire;H0X40b;Agents qualifiés de laboratoire
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H0X;Techniciens et ouvriers du contrôle qualité et du dessin industriel;H0X90;Techniciens du contrôle qualité;H0X90;Techniciens du contrôle qualité
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H0X;Techniciens et ouvriers du contrôle qualité et du dessin industriel;H0X92;Techniciens et agents de maîtrise de la logistique, du planning, de l'ordonnancement et méthodes en industrialisation;H0X92;Techniciens et agents de maîtrise de la logistique, du planning, de l'ordonnancement et méthodes en industrialisation
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X93;Ingénieurs des méthodes de production, du contrôle qualité;H1X93b;Ingénieurs et cadres techniques en Management et ingénierie méthodes et industrialisation
J;Transports, logistique et tourisme;J0X;Ouvriers de la manutention;J0X32;Conducteurs d’engins légers de déplacement de charges, cariste;J0X32;Conducteurs d’engins légers de déplacement de charges, cariste
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X41;Conducteurs de transport en commun sur route;J3X41;Conducteurs de transport en commun sur route
J;Transports, logistique et tourisme;J4X;Employés commerciaux des transports et du tourisme;J4X62;Employés administratifs et commerciaux des transports;J4X62;Employés administratifs et commerciaux des transports
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X81;Techniciens et agents de maîtrise du tourisme;J5X81;Techniciens et agents de maîtrise du tourisme
K;Artisanat;K0X;Artisans et ouvriers artisanaux;K0X30;Artisans et ouvriers artisanaux;K0X30;Artisans et ouvriers artisanaux
L;Gestion et administration des entreprises et des établissements publics;L0X;Secrétaires;L0X60;Secrétaires bureautiques et assimilés;L0X60a;Secrétaires
L;Gestion et administration des entreprises et des établissements publics;L0X;Secrétaires;L0X60;Secrétaires bureautiques et assimilés;L0X60d;Secrétaires médicaux et assistants médicaux ou médico-sociaux
L;Gestion et administration des entreprises et des établissements publics;L4X;Techniciens des services administratifs, comptables et financiers;L4X80;Techniciens des services administratifs;L4X80a;Techniciens assistanat en ressources humaines
L;Gestion et administration des entreprises et des établissements publics;L4X;Techniciens des services administratifs, comptables et financiers;L4X82;Techniciens et agents de maîtrise chargés d'études socio-économiques;L4X82;Techniciens et agents de maîtrise chargés d'études socio-économiques
L;Gestion et administration des entreprises et des établissements publics;L5X;Cadres des services administratifs, comptables et financiers;L5X90;Cadres administratifs, comptables et financiers (hors juristes);L5X90;Cadres administratifs, comptables et financiers (hors juristes)
L;Gestion et administration des entreprises et des établissements publics;L6X;Dirigeants d'entreprises;L6X00;Dirigeants de petites et moyennes entreprises de moins de 50 salariés;L6X00;Dirigeants de petites et moyennes entreprises de moins de 50 salariés
M;Informatique et télécommunications;M1X;Techniciens de l'informatique;M1X81;Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique;M1X81a;Techniciens de production, exploitation et administration des systèmes d'information
M;Informatique et télécommunications;M2X;Ingénieurs de l'informatique;M2X92;Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom;M2X92a;Responsables de production, d'exploitation et d'administration des systèmes d'information et télécom
M;Informatique et télécommunications;M2X;Ingénieurs de l'informatique;M2X92;Responsables et cadres de la production, de l'exploitation et de la maintenance informatique et télécom;M2X92b;Responsables et cadres de maintenance, support et service aux utilisateurs en informatique et télécom
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90h;Cadres A des administrations publiques chargées du patrimoine et de la culture
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90i;Cadres A de l'administration publique territoriale
P;Administration publique, professions juridiques, armée et police;P3X;Professionnels du droit (hors juristes en entreprise);P3X90;Professionnels du droit;P3X90a;Professionnels du droit en Aide et médiation judiciaire
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X60;Agents de sécurité et de l'ordre public;P4X60c;Sécurité publique
Q;Banque et assurances;QAX;Experts de la finance, de la banque et de l'assurance;QAX02;Experts de la banque;QAX02;Experts de la banque
Q;Banque et assurances;QBX;Gestionnaires de la banque et de l'assurance;QBX01;Gestionnaires de la banque et de l'assurance;QBX01;Gestionnaires de la banque et de l'assurance
R;Commerce;R0X;Caissiers, employés de libre service;R0X60;Employés de libre service;R0X60a;Employés de magasins animateurs de vente
R;Commerce;R0X;Caissiers, employés de libre service;R0X60;Employés de libre service;R0X60b;Employés de mise en rayon libre-service
R;Commerce;R1X;Vendeurs;R1X60;Vendeurs en produits alimentaires;R1X60b;Vendeurs en alimentation
R;Commerce;R1X;Vendeurs;R1X62;Vendeurs en habillement et accessoires, articles de luxe, de sport, de loisirs et culturels;R1X62d;Vendeurs en articles de sport, de loisirs et de véhicules
R;Commerce;R2X;Attachés commerciaux et représentants;R2X80;Attachés commerciaux;R2X80b;Conseillers en information médicale
R;Commerce;R2X;Attachés commerciaux et représentants;R2X83;Représentants auprès des particuliers;R2X83;Représentants auprès des particuliers
R;Commerce;R3X;Maîtrise des magasins et intermédiaires du commerce;R3X80;Maîtrise des magasins;R3X80;Maîtrise des magasins
R;Commerce;R3X;Maîtrise des magasins et intermédiaires du commerce;R3X84;Employés et professions intermédiaires de l'immobilier;R3X84;Employés et professions intermédiaires de l'immobilier
R;Commerce;R4X;Cadres commerciaux et technico-commerciaux;R4X90;Cadres commerciaux, acheteurs et cadres de la mercatique;R4X90a;acheteurs
S;Hôtellerie, restauration, alimentation;S1X;Cuisiniers;S1X20;Aides de cuisine et employés polyvalents de la restauration;S1X20;Aides de cuisine et employés polyvalents de la restauration
S;Hôtellerie, restauration, alimentation;S2X;Employés et agents de maîtrise de l'hôtellerie et de la restauration;S2X81;Agents de maîtrise de l'hôtellerie et de la gestion des structures de loisirs;S2X81;Agents de maîtrise de l'hôtellerie et de la gestion des structures de loisirs
S;Hôtellerie, restauration, alimentation;S3X;Patrons et cadres de l’hôtellerie et de la restauration;S3X90;Patrons et cadres de l’hôtellerie et de la restauration;S3X90;Patrons et cadres de l’hôtellerie et de la restauration
T;Services aux particuliers et aux collectivités;T2A;Aides à domicile et auxiliaires de vie;T2A60;Aides à domicile et auxiliaires de vie;T2A60;Aides à domicile et auxiliaires de vie
T;Services aux particuliers et aux collectivités;T2B;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60a;Assistants maternels, assistants familiaux et gardes à domicile
T;Services aux particuliers et aux collectivités;T2B;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60;Assistants maternels, auxiliaires de puériculture, assistants familiaux et gardes à domicile;T2B60b;Autres intervenants  auprès d'enfants (hors social)
