Code FAP 22;Intitulé FAP 22;Code FAP 86;Intitulé FAP 86;Code FAP 228;Intitulé FAP 228;Code FAP 341;Intitulé FAP 341
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41b;Ouvriers peu qualifiés en mécanique automobile
G;Maintenance;G0B;Ouvriers de la réparation automobile;G0B41;Ouvriers mécaniciens de véhicules;G0B41c;Ouvriers qualifiés en Réparation de cycles, motocycles et motoculteurs de loisirs
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X70;Techniciens et agents de maîtrise en intervention technique en Hygiène Sécurité Environnement -HSE industriel et protection du patrimoine naturel;G1X70;Techniciens et agents de maîtrise en intervention technique en Hygiène Sécurité Environnement -HSE industriel et protection du patrimoine naturel
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X75;Techniciens et agents de maîtrise en assistance et support technique client et en installation et maintenance télécoms et courants faibles;G1X75;Techniciens et agents de maîtrise en assistance et support technique client et en installation et maintenance télécoms et courants faibles
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X77;Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes;G1X77a;Techniciens et agents de maîtrise en maintenance électrique
G;Maintenance;G1X;Techniciens et agents de maîtrise de la maintenance;G1X77;Techniciens et agents de maîtrise en maintenance électrique, électronique et automatismes;G1X77b;Techniciens et agents de maîtrise en Installation et maintenance électronique
H;Ingénieurs, cadres et agents des fonctions transverses de l'industrie;H1X;Ingénieurs et cadres techniques de l'industrie;H1X91;Ingénieurs et cadres techniques en Hygiène Sécurité Environnement -HSE- industriels et exploitation éco-industriel;H1X91;Ingénieurs et cadres techniques en Hygiène Sécurité Environnement -HSE- industriels et exploitation éco-industriel
J;Transports, logistique et tourisme;J0X;Ouvriers de la manutention;J0X30;Manutentionnaires et déménageurs peu qualifiés;J0X30;Manutentionnaires et déménageurs peu qualifiés
J;Transports, logistique et tourisme;J0X;Ouvriers de la manutention;J0X34;Magasiniers et préparateurs de commande qualifiés;J0X34;Magasiniers et préparateurs de commande qualifiés
J;Transports, logistique et tourisme;J2X;Facteurs;J2X40;Facteurs et distributeurs de documents (non cadres);J2X40;Facteurs et distributeurs de documents (non cadres)
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X40;Conducteurs de véhicules légers;J3X40a;Ambulanciers
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X42;Conducteurs et livreurs sur courte distance (hors distribution de documents);J3X42;Conducteurs et livreurs sur courte distance (hors distribution de documents)
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X43;Conducteurs routiers;J3X43;Conducteurs routiers
J;Transports, logistique et tourisme;J3X;Conducteurs de véhicules;J3X44;Conducteurs sur rails et d'engins de traction;J3X44;Conducteurs sur rails et d'engins de traction
J;Transports, logistique et tourisme;J4X;Employés commerciaux des transports et du tourisme;J4X60;Agents et hôtesses d'accompagnement;J4X60;Agents et hôtesses d'accompagnement
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X40;Agents d'exploitation du transport;J5X40c;Responsable de circulation ferroviaire, chef de gare (non cadres)
J;Transports, logistique et tourisme;J5X;Agents d'exploitation des transports et maîtrise du tourisme;J5X60;Contrôleurs des transports;J5X60;Contrôleurs des transports
J;Transports, logistique et tourisme;J6X;Cadres des transports, du tourisme, de la logistique et navigants de l'aviation;J6X90;Cadres des transports et du tourisme;J6X90b;Cadres du tourisme
J;Transports, logistique et tourisme;J6X;Cadres des transports, du tourisme, de la logistique et navigants de l'aviation;J6X92;Cadres de la logistique;J6X92;Cadres de la logistique
L;Gestion et administration des entreprises et des établissements publics;L0X;Secrétaires;L0X60;Secrétaires bureautiques et assimilés;L0X60b;Secrétaires assistants commerciaux
L;Gestion et administration des entreprises et des établissements publics;L0X;Secrétaires;L0X60;Secrétaires bureautiques et assimilés;L0X60c;Secrétaires comptables
L;Gestion et administration des entreprises et des établissements publics;L2X;Employés administratifs d'entreprise et d'administration publique;L2X60;Agents d'accueil et d'information;L2X60;Agents d'accueil et d'information
L;Gestion et administration des entreprises et des établissements publics;L2X;Employés administratifs d'entreprise et d'administration publique;L2X61;Agents administratifs;L2X61;Agents administratifs
L;Gestion et administration des entreprises et des établissements publics;L3X;Secrétaires de direction;L3X80;Secrétaires de direction;L3X80a;Assistants commerciaux techniciens
L;Gestion et administration des entreprises et des établissements publics;L3X;Secrétaires de direction;L3X80;Secrétaires de direction;L3X80b;Secrétaires et assistanat de direction
L;Gestion et administration des entreprises et des établissements publics;L3X;Secrétaires de direction;L3X80;Secrétaires de direction;L3X80c;Secrétaires de direction comptable
L;Gestion et administration des entreprises et des établissements publics;L3X;Secrétaires de direction;L3X80;Secrétaires de direction;L3X80d;Secrétaires de direction médical ou médico-social
L;Gestion et administration des entreprises et des établissements publics;L5X;Cadres des services administratifs, comptables et financiers;L5X91;Juristes et avocats;L5X91;Juristes et avocats
L;Gestion et administration des entreprises et des établissements publics;L5X;Cadres des services administratifs, comptables et financiers;L5X92;Cadres des ressources humaines et du recrutement;L5X92;Cadres des ressources humaines et du recrutement
L;Gestion et administration des entreprises et des établissements publics;L5X;Cadres des services administratifs, comptables et financiers;L5X93;Chargés d'études socio-économiques;L5X93;Chargés d'études socio-économiques
L;Gestion et administration des entreprises et des établissements publics;L6X;Dirigeants d'entreprises;L6X90;Cadres dirigeants des grandes entreprises de plus de 50 salariés;L6X90;Cadres dirigeants des grandes entreprises de plus de 50 salariés
M;Informatique et télécommunications;M2X;Ingénieurs de l'informatique;M2X90;Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom;M2X90;Ingénieurs et cadres d'étude, recherche et développement en informatique et télécom
M;Informatique et télécommunications;M2X;Ingénieurs de l'informatique;M2X91;Chefs de projet et directeurs de service informatique;M2X91;Chefs de projet et directeurs de service informatique
N;Études et recherche;N0X;Techniciens d'études et de recherche;N0X70;Techniciens d'étude, recherche et développement;N0X70;Techniciens d'étude, recherche et développement
P;Administration publique, professions juridiques, armée et police;P0X;Employés administratifs des administrations publiques (catégorie C et assimilés);P0X60;Agents des impôts et des douanes;P0X60;Agents des impôts et des douanes
P;Administration publique, professions juridiques, armée et police;P0X;Employés administratifs des administrations publiques (catégorie C et assimilés);P0X61;Autres cadres C des administrations publiques;P0X61;Autres cadres C des administrations publiques
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90a;Cadres A des administrations publiques en conception, pilotage et mise en oeuvre des pouvoirs publics et en représentation de l'Etat
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90b;Cadres A des administrations publiques en management de structure de santé, sociale ou pénitentiaire
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90e;Cadres A des administrations publiques en inspection du travail, de la sécurité sociale et des Urssaf
P;Administration publique, professions juridiques, armée et police;P2X;Cadres des administrations publiques (catégorie A et assimilés);P2X90;Cadres A des administrations publiques (hors spécialités juridiques) et assimilés;P2X90g;Cadres A des impôts, du Trésor Public et des douanes
P;Administration publique, professions juridiques, armée et police;P3X;Professionnels du droit (hors juristes en entreprise);P3X90;Professionnels du droit;P3X90b;Professionnels du droit en Collaboration juridique
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X60;Agents de sécurité et de l'ordre public;P4X60a;Personnel de la Défense
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X60;Agents de sécurité et de l'ordre public;P4X60b;Sécurité civile et secours
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X61;Agents de polices municipales;P4X61;Agents de polices municipales
P;Administration publique, professions juridiques, armée et police;P4X;Armée, police, pompiers;P4X80;Cadres de la police et de l'armée;P4X80c;Management de la sécurité publique
Q;Banque et assurances;QAX;Experts de la finance, de la banque et de l'assurance;QAX01;Experts de la finance;QAX01;Experts de la finance
Q;Banque et assurances;QCX;Commerciaux de la banque;QCX02;Cadres et indépendants commerciaux de la banque;QCX02;Cadres et indépendants commerciaux de la banque
Q;Banque et assurances;QDX;Commerciaux des assurances;QDX02;Cadres et indépendants commerciaux des assurances;QDX02;Cadres et indépendants commerciaux des assurances
R;Commerce;R0X;Caissiers, employés de libre service;R0X61;Caissiers;R0X61;Caissiers
